,0
2023-04-27,1067.395882545485
2023-04-28,1071.7237766642904
2023-05-02,1071.3976027070955
2023-05-03,1075.473204548638
2023-05-04,1075.5111591672046
2023-05-05,1075.8707167556936
2023-05-08,1075.9290840543345
2023-05-09,1075.3997214928502
2023-05-10,1075.7767787339503
2023-05-11,1076.1580225680289
2023-05-12,1076.2630335852446
2023-05-15,1076.356266031911
2023-05-16,1076.4486358548188
2023-05-17,1075.9977278943343
2023-05-19,1076.5950416387466
2023-05-22,1076.619159061274
2023-05-23,1076.7441067626146
2023-05-24,1076.0526747618846
2023-05-25,1076.3480165918925
2023-05-26,1076.8893908622313
2023-05-30,1076.8460560468457
2023-05-31,1076.9759959608427
2023-06-01,1077.1074572188313
2023-06-02,1077.2942271244021
2023-06-05,1077.3317667342658
2023-06-06,1077.4486595272479
2023-06-07,1077.5122264927031
2023-06-08,1077.582888044616
2023-06-09,1076.8577448090846
2023-06-12,1076.8381181367615
2023-06-13,1077.350906672837
2023-06-14,1077.6525572445225
2023-06-15,1077.5205847894479
2023-06-16,1077.71561335885
2023-06-19,1073.3543182433593
2023-06-20,1055.2573967661842
2023-06-21,1048.7419309207871
2023-06-22,1046.4913533991846
2023-06-23,1053.0548034440126
2023-06-26,1039.9388246643969
2023-06-27,1028.6092432176365
2023-06-28,1052.8990258692272
2023-06-29,1041.962311110058
2023-06-30,1057.9674106972425
2023-07-03,1052.108992779023
2023-07-04,1053.8206210310084
2023-07-05,1054.060718186939
2023-07-06,1051.313450170867
2023-07-07,1045.6277877423338
2023-07-10,1052.4537302795495
2023-07-11,1055.2337789674261
2023-07-12,1059.197242350136
2023-07-13,1055.1298641733194
2023-07-14,1070.9137119979964
2023-07-17,1067.2650570879146
2023-07-18,1075.801663252203
2023-07-19,1076.7568621533676
2023-07-20,1076.6840941994237
2023-07-21,985.3121737578438
2023-07-24,975.0460268718272
2023-07-25,993.1141589115564
2023-07-26,983.1181714826512
2023-07-27,1004.250505121937
2023-07-28,1008.4383037323491
2023-07-31,1011.0402884692442
2023-08-02,997.9093816774122
2023-08-03,983.3971283535058
2023-08-04,986.896691141641
2023-08-07,984.4063021948558
2023-08-08,984.9409075527562
2023-08-09,983.1341979165846
2023-08-10,998.1843971778286
2023-08-11,992.7007157574333
2023-08-14,991.0024025120399
2023-08-15,980.7709950445528
2023-08-16,965.09434254378
2023-08-17,952.611438098669
2023-08-18,950.3959988564413
2023-08-21,947.2112397870541
2023-08-22,946.1162412464149
2023-08-23,965.3237224888654
2023-08-24,961.0400381217155
2023-08-25,951.354016416342
2023-08-28,955.9020968040156
2023-08-29,965.4006052638052
2023-08-30,970.0831266206612
2023-08-31,980.6870773251245
2023-09-01,988.3396254730296
2023-09-04,992.9394462258932
2023-09-05,989.8991867839986
2023-09-06,994.2557420066755
2023-09-07,987.8289182347637
2023-09-08,971.7331399019216
2023-09-11,977.6824680863981
2023-09-12,974.0822786411493
2023-09-13,976.3846534011122
2023-09-14,982.5975295577653
2023-09-15,997.4441683993523
2023-09-18,863.7381327439522
2023-09-19,875.0465535713737
2023-09-20,894.5186926574119
2023-09-21,868.5582665409968
2023-09-22,868.9322604363928
2023-09-25,880.072548345273
2023-09-26,879.3944378830042
2023-09-27,860.990871531988
2023-09-28,861.2407049642211
2023-09-29,867.707694629532
2023-10-02,857.082847905661
2023-10-03,848.0187054302554
2023-10-04,849.7898229461276
2023-10-05,856.15115694332
2023-10-06,874.3094208340632
2023-10-09,873.0258776568901
2023-10-10,882.3941373866221
2023-10-11,879.9191184329784
2023-10-12,878.5819061248212
2023-10-13,852.8964248161468
2023-10-16,867.7269997387269
2023-10-17,743.9322487564126
2023-10-18,721.3580444225172
2023-10-19,716.160586848831
2023-10-20,699.7867815626046
2023-10-23,689.8463901307226
2023-10-24,696.1833552590984
2023-10-25,666.9852720944544
2023-10-26,668.1782913475874
2023-10-27,666.9753209324092
2023-10-30,661.1249766485189
2023-10-31,670.5680970984179
2023-11-01,674.1857944276952
2023-11-02,675.7394289760424
2023-11-03,693.0627862031464
2023-11-06,696.975041277916
2023-11-07,696.886957260652
2023-11-08,702.6045532068631
2023-11-09,711.5161135928728
2023-11-10,702.7374209338914
2023-11-13,705.5029614614739
2023-11-14,729.0932740668107
2023-11-15,732.8967081284559
2023-11-16,736.7682674825535
2023-11-17,740.5124842319141
2023-11-20,744.2808991951373
2023-11-21,735.5575540623227
2023-11-22,734.8805953018343
2023-11-23,733.7113764428709
2023-11-24,731.8697724812233
2023-11-27,721.031485235871
2023-11-28,710.8134558497443
2023-11-29,716.0412856717871
2023-11-30,710.0033439399922
