Date,Adj Close,Close,High,Low,Open,Volume
2024-03-21,520.6242065,524.5999756,526.4000244,506.8999939,510.2000122,65018
2024-03-22,526.1818237,530.2000122,531,522.5999756,523.4000244,43867
2024-03-25,520.0288086,524,533,520.5999756,533,47009
2024-03-26,532.1363525,536.2000122,538,526.4000244,529.4000244,36627
2024-03-27,531.9378662,536,540.5999756,531.4000244,535.2999878,39185
2024-03-28,536.3045654,540.4000244,547.2000122,537.7999878,545.5999756,50696
2024-04-02,527.7696533,531.7999878,555.4000244,529.2000122,555.2000122,52081
2024-04-03,540.4726563,544.5999756,547.2000122,530.5999756,535.7999878,50754
2024-04-04,546.8241577,551,554.2000122,543.5999756,547.7999878,53345
2024-04-05,542.0605469,546.2000122,548.7999878,535.7999878,540.2000122,76169
2024-04-08,550.9923706,555.2000122,559.4000244,544.2000122,545.2000122,45205
2024-04-09,540.6711426,544.7999878,557.4000244,541.5999756,555.5999756,39224
2024-04-10,530.7469482,534.7999878,551,530.7999878,547.2000122,40185
2024-04-11,535.7090454,539.7999878,546,531.5999756,531.5999756,30855
2024-04-12,527.571167,531.5999756,547.5999756,530.7999878,544.7999878,28925
2024-04-15,529.357605,533.4000244,538.5999756,532.4000244,537.5999756,22324
2024-04-16,522.0136719,526,528.7999878,513.4000244,523.4000244,45755
2024-04-17,517.845459,521.7999878,526,519,524.2000122,34012
2024-04-18,507.7227783,511.6000061,516.5999756,505.7999878,512.7999878,72607
2024-04-19,497.203125,501,506,499.3500061,500,55701
2024-04-22,502.3637085,506.2000122,510.3999939,502,508.7999878,51839
2024-04-23,523.9984741,528,528.5999756,509.6000061,509.7999878,38809
2024-04-24,518.6394043,522.5999756,528,520.4000244,523,26954
2024-04-25,510.3031006,514.2000122,522.7999878,510.6000061,522.5999756,34845
2024-04-26,523.6015015,527.5999756,527.7999878,517.7999878,517.7999878,30414
2024-04-29,518.2424316,522.2000122,527.9000244,521.7999878,527.5999756,30126
2024-04-30,508.7151794,512.5999756,521.2000122,505,521.2000122,39849
2024-05-01,508.7151794,512.5999756,512.5999756,512.5999756,512.5999756,0
2024-05-02,509.1121826,513,521.4000244,511.7999878,515.2000122,34940
2024-05-03,517.0515137,521,526.2000122,518,518.5,26212
2024-05-07,518.0439453,522,522.4000244,517.7999878,520.5999756,16425
2024-05-08,523.2045898,527.2000122,530,522,526.2000122,25108
2024-05-09,523.2045898,527.2000122,527.2000122,527.2000122,527.2000122,0
2024-05-10,523.7999878,527.7999878,533.4000244,526.4000244,530.2000122,31409
2024-05-13,515.5999756,515.5999756,524.2000122,515.2000122,524,26391
2024-05-14,504.6000061,504.6000061,515.7999878,499.2999878,503.6000061,102612
2024-05-15,531.2000122,531.2000122,532.5999756,511.2000122,511.3999939,45441
2024-05-16,526.5999756,526.5999756,533.2000122,525.7999878,532.7999878,24732
2024-05-17,528,528,532.4000244,524.7999878,528.5999756,16778
2024-05-20,528,528,528,528,528,0
2024-05-21,507.7999878,507.7999878,529.7999878,507.7999878,525.2000122,57359
2024-05-22,510.7999878,510.7999878,515,503.7999878,507.3999939,33328
2024-05-23,512,512,515.5999756,506.6000061,509,29925
2024-05-24,516.4000244,516.4000244,517.2000122,509.2000122,509.2000122,17287
2024-05-28,494.6000061,494.6000061,514,494.1000061,513.2000122,52708
