"Date","Price","Open","High","Low","Change %"
"11/01/2024","0.790","0.500","0.790","0.470","0.00%"
"10/31/2024","0.790","0.520","0.800","0.510","-1.25%"
"10/30/2024","0.800","0.510","0.800","0.510","0.00%"
"10/29/2024","0.800","0.760","0.800","0.610","33.33%"
"10/28/2024","0.600","0.620","0.640","0.600","-25.93%"
"10/25/2024","0.810","0.760","0.810","0.750","1.25%"
"10/24/2024","0.800","0.800","0.810","0.740","0.00%"
"10/23/2024","0.800","0.640","0.850","0.630","0.00%"
"10/22/2024","0.800","0.660","0.810","0.660","-1.23%"
"10/21/2024","0.810","0.650","0.810","0.650","1.25%"
"10/18/2024","0.800","0.800","0.840","0.780","0.00%"
"10/17/2024","0.800","0.790","0.850","0.780","-1.23%"
"10/16/2024","0.810","0.800","0.840","0.790","1.25%"
"10/15/2024","0.800","0.660","0.850","0.660","0.00%"
"10/14/2024","0.800","0.680","0.850","0.670","-5.88%"
"10/11/2024","0.850","0.680","0.850","0.670","1.19%"
"10/10/2024","0.840","0.840","0.880","0.820","-1.18%"
"10/09/2024","0.850","0.840","0.860","0.830","0.00%"
"10/08/2024","0.850","0.850","0.890","0.810","1.19%"
"10/07/2024","0.840","0.870","0.870","0.720","-1.18%"
"10/04/2024","0.850","0.860","0.900","0.680","0.00%"
"10/03/2024","0.850","0.800","0.850","0.800","0.00%"
"10/02/2024","0.850","0.830","0.850","0.800","0.00%"
"10/01/2024","0.850","0.690","0.860","0.690","0.00%"
"09/30/2024","0.850","0.710","0.870","0.690","0.00%"
"09/27/2024","0.850","0.850","0.900","0.710","16.44%"
"09/26/2024","0.730","0.730","0.920","0.710","-8.75%"
"09/25/2024","0.800","0.880","0.900","0.790","-10.11%"
"09/24/2024","0.890","0.800","0.900","0.650","34.85%"
"09/23/2024","0.660","0.890","0.900","0.660","-26.67%"
"09/20/2024","0.900","0.900","0.900","0.820","28.57%"
"09/19/2024","0.700","0.830","0.910","0.690","-23.08%"
"09/18/2024","0.910","0.860","0.920","0.700","-1.09%"
"09/17/2024","0.920","0.710","0.950","0.710","-3.16%"
"09/16/2024","0.950","0.750","0.950","0.740","-1.04%"
"09/13/2024","0.960","0.910","0.980","0.750","0.00%"
"09/12/2024","0.960","0.940","0.990","0.900","-1.03%"
"09/11/2024","0.970","0.980","1.000","0.760","-3.00%"
"09/10/2024","1.000","0.910","1.000","0.780","2.04%"
"09/09/2024","0.980","0.780","1.000","0.770","0.00%"
"09/06/2024","0.980","1.000","1.030","0.940","0.00%"
"09/05/2024","0.980","1.000","1.020","0.970","-2.00%"
"09/04/2024","1.000","0.980","1.000","0.970","23.46%"
"09/03/2024","0.810","0.990","1.050","0.800","-22.86%"
"09/02/2024","1.050","1.050","1.050","0.800","8.25%"
"08/30/2024","0.970","0.960","1.050","0.940","-7.62%"
"08/29/2024","1.050","0.960","1.070","0.960","0.00%"
"08/28/2024","1.050","1.010","1.050","0.970","0.00%"
"08/27/2024","1.050","1.030","1.050","0.990","0.00%"
"08/26/2024","1.050","1.000","1.060","0.990","0.00%"
"08/23/2024","1.050","1.010","1.050","1.000","0.00%"
"08/22/2024","1.050","0.830","1.060","0.820","0.00%"
"08/21/2024","1.050","0.990","1.050","0.980","0.00%"
"08/20/2024","1.050","1.000","1.050","0.990","0.00%"
"08/19/2024","1.050","0.860","1.050","0.840","0.00%"
"08/16/2024","1.050","1.040","1.050","1.000","0.00%"
"08/15/2024","1.050","0.840","1.070","0.840","0.00%"
"08/14/2024","1.050","0.840","1.050","0.840","0.00%"
"08/13/2024","1.050","0.870","1.070","0.870","0.00%"
"08/12/2024","1.050","1.050","1.060","1.020","0.00%"
"08/09/2024","1.050","1.050","1.050","1.050","0.00%"
"08/08/2024","1.050","0.890","1.050","0.880","0.00%"
"08/07/2024","1.050","1.060","1.090","1.010","15.38%"
"08/06/2024","0.910","0.920","0.960","0.890","4.60%"
"08/05/2024","0.870","1.100","1.150","0.860","-20.91%"
"08/02/2024","1.100","1.100","1.150","0.980","0.92%"
"07/31/2024","1.090","1.100","1.140","1.010","-0.91%"
"07/30/2024","1.100","1.130","1.150","1.020","-4.35%"
"07/29/2024","1.150","1.150","1.200","1.030","4.55%"
"07/26/2024","1.100","1.020","1.170","1.010","0.00%"
"07/25/2024","1.100","1.020","1.170","1.010","-2.65%"
"07/24/2024","1.130","1.170","1.180","1.100","0.00%"
"07/23/2024","1.130","1.170","1.180","1.130","13.00%"
"07/22/2024","1.000","1.010","1.010","1.000","-11.50%"
"07/19/2024","1.130","1.020","1.190","1.010","0.00%"
"07/18/2024","1.130","1.170","1.200","1.010","0.00%"
"07/17/2024","1.130","1.140","1.160","1.130","0.00%"
"07/16/2024","1.130","1.130","1.150","1.120","-1.74%"
"07/15/2024","1.150","0.990","1.150","0.990","0.00%"
"07/12/2024","1.150","1.150","1.160","1.030","0.00%"
"07/11/2024","1.150","1.150","1.170","1.020","-1.71%"
"07/10/2024","1.170","1.140","1.170","1.020","0.00%"
"07/09/2024","1.170","1.140","1.170","1.020","1.74%"
"07/08/2024","1.150","1.020","1.190","1.020","0.00%"
"07/05/2024","1.150","1.170","1.200","1.020","-1.71%"
"07/04/2024","1.170","1.130","1.170","1.020","0.00%"
"07/03/2024","1.170","1.140","1.170","1.010","0.00%"
"07/02/2024","1.170","1.010","1.170","1.000","0.00%"
"07/01/2024","1.170","1.040","1.170","1.010","0.00%"
"06/28/2024","1.170","1.040","1.170","1.030","12.50%"
"06/27/2024","1.040","1.040","1.170","1.020","-9.57%"
"06/26/2024","1.150","1.170","1.180","1.020","0.00%"
"06/25/2024","1.150","1.010","1.170","1.010","-1.71%"
"06/24/2024","1.170","1.140","1.190","1.030","0.00%"
"06/21/2024","1.170","1.170","1.200","1.130","0.00%"
"06/20/2024","1.170","1.030","1.320","1.020","-11.36%"
"06/19/2024","1.320","1.120","1.320","1.070","0.00%"
"06/18/2024","1.320","1.260","1.320","1.120","1.54%"
"06/17/2024","1.300","1.130","1.320","1.110","14.04%"
"06/14/2024","1.140","1.300","1.370","1.110","-13.64%"
"06/13/2024","1.320","1.180","1.320","1.160","0.00%"
"06/12/2024","1.320","1.200","1.350","1.180","-2.22%"
"06/11/2024","1.350","1.290","1.370","1.200","0.00%"
"06/10/2024","1.350","1.220","1.350","1.210","0.00%"
"06/07/2024","1.350","1.320","1.380","1.180","0.00%"
"06/06/2024","1.350","1.210","1.360","1.200","0.00%"
"06/05/2024","1.350","1.340","1.390","1.200","0.00%"
"06/04/2024","1.350","1.310","1.380","1.160","0.00%"
"06/03/2024","1.350","1.310","1.380","1.200","0.00%"
"05/31/2024","1.350","1.270","1.440","1.260","0.00%"
"05/30/2024","1.350","1.350","1.350","1.240","0.00%"
"05/29/2024","1.350","1.350","1.370","1.250","0.00%"
"05/28/2024","1.350","1.350","1.390","1.260","0.00%"
"05/27/2024","1.350","1.370","1.410","1.260","0.00%"
"05/24/2024","1.350","1.380","1.420","1.220","0.00%"
"05/23/2024","1.350","1.430","1.470","1.180","0.00%"
"05/22/2024","1.350","1.400","1.420","1.190","0.00%"
"05/21/2024","1.350","1.190","1.410","1.180","13.45%"
"05/20/2024","1.190","1.170","1.240","1.160","-11.85%"
"05/17/2024","1.350","1.360","1.430","1.350","0.00%"
"05/16/2024","1.350","1.370","1.400","1.130","0.00%"
"05/15/2024","1.350","1.350","1.400","1.150","14.41%"
"05/14/2024","1.180","1.160","1.420","1.160","-12.59%"
"05/13/2024","1.350","1.380","1.450","1.170","11.57%"
"05/11/2024","1.210","1.210","1.210","1.210","-12.32%"
"05/10/2024","1.380","1.360","1.420","1.360","14.05%"
"05/09/2024","1.210","1.360","1.360","1.170","-4.72%"
"05/08/2024","1.270","1.370","1.430","1.190","-5.93%"
"05/07/2024","1.350","1.370","1.390","1.200","-1.46%"
"05/06/2024","1.370","1.350","1.410","1.210","8.73%"
"05/05/2024","1.260","1.260","1.260","1.260","0.00%"
"05/04/2024","1.260","1.260","1.260","1.260","3.28%"
"05/03/2024","1.220","1.370","1.400","1.200","-3.17%"
"05/02/2024","1.260","1.370","1.400","1.170","-6.67%"
"05/01/2024","1.350","1.370","1.370","1.350","0.00%"
"04/30/2024","1.350","1.370","1.410","1.230","3.05%"
"04/29/2024","1.310","1.430","1.450","1.230","0.00%"
"04/28/2024","1.310","1.310","1.310","1.310","2.34%"
"04/27/2024","1.280","1.310","1.310","1.280","-6.57%"
"04/26/2024","1.370","1.310","1.440","1.250","5.38%"
"04/25/2024","1.300","1.370","1.440","1.250","3.17%"
"04/24/2024","1.260","1.300","1.440","1.250","-2.33%"
"04/23/2024","1.290","1.370","1.440","1.250","1.57%"
"04/22/2024","1.270","1.370","1.420","1.240","-7.30%"
"04/20/2024","1.370","1.370","1.370","1.370","1.48%"
"04/19/2024","1.350","1.370","1.410","1.260","0.00%"
"04/18/2024","1.350","1.370","1.430","1.250","3.85%"
"04/17/2024","1.300","1.370","1.430","1.270","-5.11%"
"04/16/2024","1.370","1.380","1.430","1.290","-2.14%"
"04/15/2024","1.400","1.320","1.420","1.290","7.69%"
"04/14/2024","1.300","1.300","1.300","1.300","0.00%"
"04/13/2024","1.300","1.300","1.300","1.300","-1.52%"
"04/12/2024","1.320","1.380","1.430","1.300","-5.71%"
"04/11/2024","1.400","1.350","1.450","1.350","6.87%"
"04/10/2024","1.310","1.380","1.440","1.290","-5.76%"
"04/09/2024","1.390","1.380","1.410","1.310","3.73%"
"04/08/2024","1.340","1.380","1.460","1.310","0.00%"
"04/07/2024","1.340","1.380","1.380","1.340","0.00%"
"04/06/2024","1.340","1.380","1.380","1.340","-2.90%"
"04/05/2024","1.380","1.300","1.460","1.300","4.55%"
"04/04/2024","1.320","1.360","1.470","1.310","0.00%"
"04/03/2024","1.320","1.380","1.470","1.300","-2.22%"
"04/02/2024","1.350","1.400","1.400","1.350","-5.59%"
"04/01/2024","1.430","1.420","1.430","1.400","2.14%"
"03/31/2024","1.400","1.380","1.400","1.380","1.45%"
"03/30/2024","1.380","1.380","1.380","1.380","-1.43%"
"03/29/2024","1.400","1.400","1.400","1.400","1.45%"
"03/28/2024","1.380","1.400","1.470","1.370","0.00%"
"03/27/2024","1.380","1.400","1.520","1.370","0.00%"
"03/26/2024","1.380","1.400","1.430","1.360","2.99%"
"03/25/2024","1.340","1.400","1.430","1.340","0.00%"
"03/24/2024","1.340","1.400","1.400","1.340","0.00%"
"03/23/2024","1.340","1.400","1.400","1.340","-1.47%"
"03/22/2024","1.360","1.400","1.510","1.330","-2.86%"
"03/21/2024","1.400","1.560","1.610","1.300","-9.68%"
"03/20/2024","1.550","1.600","1.650","1.510","0.00%"
"03/19/2024","1.550","1.600","1.620","1.520","-3.13%"
"03/18/2024","1.600","1.580","1.640","1.530","3.23%"
"03/17/2024","1.550","1.550","1.550","1.550","0.00%"
"03/16/2024","1.550","1.550","1.550","1.550","-3.13%"
"03/15/2024","1.600","1.560","1.640","1.540","-0.62%"
"03/14/2024","1.610","1.600","1.630","1.540","5.23%"
"03/13/2024","1.530","1.550","1.620","1.530","-4.38%"
"03/12/2024","1.600","1.530","1.630","1.510","0.00%"
"03/11/2024","1.600","1.500","1.600","1.500","5.26%"
"03/10/2024","1.520","1.520","1.520","1.520","0.00%"
"03/09/2024","1.520","1.520","1.520","1.520","0.66%"
"03/08/2024","1.510","1.520","1.600","1.500","-0.66%"
"03/07/2024","1.520","1.510","1.600","1.510","1.33%"
"03/06/2024","1.500","1.480","1.600","1.480","0.67%"
"03/05/2024","1.490","1.500","1.600","1.490","-0.67%"
"03/04/2024","1.500","1.600","1.600","1.480","0.00%"
"03/03/2024","1.500","1.500","1.500","1.500","0.00%"
"03/02/2024","1.500","1.500","1.500","1.500","1.35%"
"03/01/2024","1.480","1.500","1.600","1.460","-1.33%"
"02/29/2024","1.500","1.520","1.610","1.490","-2.60%"
"02/28/2024","1.540","1.600","1.640","1.510","-0.65%"
"02/27/2024","1.550","1.600","1.640","1.500","1.31%"
"02/26/2024","1.530","1.520","1.640","1.510","0.00%"
"02/25/2024","1.530","1.600","1.600","1.530","0.00%"
"02/24/2024","1.530","1.600","1.600","1.530","-0.65%"
"02/23/2024","1.540","1.600","1.620","1.510","0.65%"
"02/22/2024","1.530","1.600","1.610","1.510","0.66%"
"02/21/2024","1.520","1.550","1.620","1.520","-5.00%"
"02/20/2024","1.600","1.530","1.620","1.530","0.00%"
"02/19/2024","1.600","1.550","1.600","1.520","1.91%"
"02/18/2024","1.570","1.600","1.600","1.570","0.00%"
"02/17/2024","1.570","1.570","1.570","1.570","-1.87%"
"02/16/2024","1.600","1.550","1.630","1.540","0.00%"
"02/15/2024","1.600","1.540","1.630","1.520","3.90%"
"02/14/2024","1.540","1.600","1.620","1.520","-1.91%"
"02/13/2024","1.570","1.600","1.650","1.510","-1.26%"
"02/12/2024","1.590","1.600","1.610","1.550","0.00%"
"02/11/2024","1.590","1.590","1.590","1.590","1.92%"
"02/09/2024","1.560","1.600","1.620","1.560","-2.50%"
"02/08/2024","1.600","1.570","1.640","1.550","0.00%"
"02/07/2024","1.600","1.580","1.650","1.550","2.56%"
"02/06/2024","1.560","1.600","1.630","1.550","-1.89%"
"02/05/2024","1.590","1.600","1.630","1.570","-1.85%"
"02/04/2024","1.620","1.600","1.620","1.600","3.18%"
"02/02/2024","1.570","1.600","1.640","1.540","0.64%"
"02/01/2024","1.560","1.600","1.650","1.540","2.63%"
"01/31/2024","1.520","1.600","1.650","1.520","-7.32%"
"01/30/2024","1.640","1.600","1.720","1.580","1.86%"
"01/29/2024","1.610","1.600","1.660","1.600","0.62%"
"01/28/2024","1.600","1.610","1.610","1.600","-1.23%"
"01/26/2024","1.620","1.600","1.670","1.600","1.89%"
"01/25/2024","1.590","1.610","1.630","1.590","-0.62%"
"01/24/2024","1.600","1.610","1.700","1.600","-0.62%"
"01/23/2024","1.610","1.640","1.690","1.590","0.00%"
"01/22/2024","1.610","1.640","1.670","1.580","0.00%"
"01/21/2024","1.610","1.630","1.630","1.610","-0.62%"
"01/19/2024","1.620","1.630","1.710","1.600","-1.22%"
"01/18/2024","1.640","1.590","1.700","1.590","-1.20%"
"01/17/2024","1.660","1.590","1.680","1.590","4.40%"
"01/16/2024","1.590","1.610","1.690","1.580","-1.24%"
"01/15/2024","1.610","1.620","1.650","1.580","0.00%"
"01/14/2024","1.610","1.650","1.650","1.610","-0.62%"
